Sample_ID	PLATE	PRIMER	BAR_CODE_ID	Animal_ID	Breed	DOB	Initial	Days_from_birth	Sex	Hide	Mask_given1	Treat_assign1	Treat_given1	Trt_date1	Treat_group1	Mask_given2	Treat_assign2	Treatment	Trtment_date2	Treat_group2	Time	Date_swabbed	Invitro_growth	Group	infected	Ulcer_positive	Age_group	Type	Run	Missed	ELISA	Eye_sampled	Elisa_Concentration
11	1	1	11	8138F	Simmental	3/10/18	5/16/18	67	H	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
12	1	1	12	8188F	Simmental	3/23/18	5/16/18	54	B	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G2	sample_control	seq_3	Out	NONE	L	NONE
13	1	1	13	8135F	Angus	3/9/18	5/16/18	68	H	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
14	1	1	14	8198F	Angus	3/28/18	5/16/18	49	H	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	Pre IBK Treatment	Before	G3	sample_control	seq_3	Out	NONE	L	NONE
15	1	1	15	8145F	Simmental	3/10/18	5/16/18	67	B	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Keep	NONE	L	NONE
16	1	1	16	8180F	Simmental	3/21/18	5/16/18	56	H	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G2	sample_control	seq_3	Out	YES	L	0.3250027
17	1	1	17	8219F	Simmental	4/4/18	5/16/18	42	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G3	sample_control	seq_3	Keep	NONE	L	NONE
18	1	1	18	8115F	Simmental	3/8/18	5/16/18	69	H	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
19	1	1	19	8209F	Simmental	3/31/18	5/16/18	46	H	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G3	sample_control	seq_3	Out	NONE	L	NONE
20	1	1	20	8200F	Simmental	3/29/18	5/16/18	48	B	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G3	sample_control	seq_3	Out	NONE	L	NONE
21	1	1	21	8072F	Simmental	3/6/18	5/16/18	71	H	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Keep	NONE	L	NONE
22	1	1	22	8224F	Simmental	4/10/18	5/16/18	36	H	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G3	sample_control	seq_3	Out	NONE	L	NONE
23	1	1	23	8179F	Simmental	3/21/18	5/16/18	56	B	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	BOTH	1_4_period	NONE	NONE	G2	sample_control	seq_3	Keep	NONE	L	NONE
24	1	1	24	8130F	Simmental	3/9/18	5/16/18	68	B	R	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	YES	L	0.318337
25	1	1	25	8094F	Simmental	3/6/18	5/16/18	71	B	R	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovoculi	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
26	1	1	26	8098F	Simmental	3/6/18	5/16/18	71	H	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
27	1	1	27	8178F	Simmental	3/21/18	5/16/18	56	H	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G2	sample_control	seq_3	Out	NONE	L	NONE
28	1	1	28	8062F	Simmental	3/2/18	5/16/18	75	H	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	BOTH	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
29	1	1	29	8144F	Simmental	3/10/18	5/16/18	67	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
30	1	1	30	8119F	Simmental	3/8/18	5/16/18	69	H	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
31	1	1	31	8207F	Simmental	3/31/18	5/16/18	46	H	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G3	sample_control	seq_3	Out	NONE	L	NONE
32	1	1	32	8235F	Simmental	4/17/18	5/16/18	29	H	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G4	sample_control	seq_3	Keep	NONE	L	NONE
33	1	1	33	8088F	Angus	3/5/18	5/16/18	72	H	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
34	1	1	34	8137F	Simmental	3/10/18	5/16/18	67	B	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Keep	NONE	L	NONE
35	1	1	35	8091F	Simmental	3/5/18	5/16/18	72	B	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
36	1	1	36	8097F	Angus	3/6/18	5/16/18	71	H	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
37	1	1	37	8202F	Simmental	3/29/18	5/16/18	48	B	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	Pre IBK Treatment	Before	G3	sample_control	seq_3	Out	NONE	L	NONE
38	1	1	38	8116F	Simmental	3/8/18	5/16/18	69	B	R	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovoculi	1_4_period	NONE	NONE	G1	sample_control	seq_3	Keep	NONE	L	NONE
39	1	1	39	8230F	Simmental	4/14/18	5/16/18	32	H	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G4	sample_control	seq_3	Out	NONE	L	NONE
40	1	1	40	8166F	Simmental	3/19/18	5/16/18	58	H	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G2	sample_control	seq_3	Out	NONE	L	NONE
41	1	1	41	8123F	Angus	3/8/18	5/16/18	69	B	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	Pre IBK Treatment	Before	G1	sample_control	seq_3	Out	YES	L	0.3446326
42	1	1	42	8157F	Angus	3/15/18	5/16/18	62	H	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G2	sample_control	seq_3	Out	NONE	L	NONE
43	1	1	43	8163F	Simmental	3/18/18	5/16/18	59	H	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G2	sample_control	seq_3	Out	NONE	L	NONE
44	1	1	44	8129F	Simmental	3/9/18	5/16/18	68	B	R	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
45	1	1	45	8064F	Simmental	3/2/18	5/16/18	75	B	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
46	1	1	46	8110F	Simmental	3/7/18	5/16/18	70	H	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
47	1	1	47	8169F	Angus	3/20/18	5/16/18	57	H	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G2	sample_control	seq_3	Out	NONE	L	NONE
48	1	1	48	8233F	Simmental	4/9/18	5/16/18	37	H	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	BOTH	1_4_period	NONE	NONE	G3	sample_control	seq_3	Out	NONE	L	NONE
49	1	1	49	8196F	Simmental	3/28/18	5/16/18	49	B	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G3	sample_control	seq_3	Out	NONE	L	NONE
50	1	1	50	8184F	Angus	3/22/18	5/16/18	55	B	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G2	sample_control	seq_3	Out	NONE	L	NONE
51	1	1	51	8077F	Simmental	3/4/18	5/16/18	73	H	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Keep	NONE	L	NONE
52	1	1	52	8092F	Angus	3/5/18	5/16/18	72	H	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
53	1	1	53	8127F	Simmental	3/9/18	5/16/18	68	H	R	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
54	1	1	54	8189F	Simmental	3/23/18	5/16/18	54	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G2	sample_control	seq_3	Keep	NONE	L	NONE
55	1	1	55	8193F	Simmental	3/26/18	5/16/18	51	H	R	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G2	sample_control	seq_3	Out	NONE	L	NONE
56	1	1	56	NEG_CON	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	neg_control	seq_3	Out	NONE	NONE	NONE
57	1	1	57	8172F	Simmental	3/20/18	5/16/18	57	H	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G2	sample_control	seq_3	Keep	NONE	L	NONE
58	1	1	58	8132F	Simmental	3/9/18	5/16/18	68	B	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_3	Keep	NONE	L	NONE
59	1	1	59	8214F	Simmental	4/3/18	5/16/18	43	B	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G3	sample_control	seq_3	Keep	NONE	L	NONE
60	1	1	60	8183F	Simmental	3/22/18	5/16/18	55	H	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G2	sample_control	seq_3	Out	NONE	L	NONE
61	1	1	61	8096F	Simmental	3/6/18	5/16/18	71	B	R	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Keep	NONE	L	NONE
62	1	1	62	8065F	Simmental	3/2/18	5/16/18	75	H	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_3	Out	NONE	L	NONE
63	1	1	63	8229F	Simmental	3/9/18	5/16/18	68	B	B	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Keep	NONE	L	NONE
64	1	1	64	8173F	Simmental	3/20/18	5/16/18	57	H	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G2	sample_control	seq_3	Out	NONE	L	NONE
65	1	1	65	8211F	Simmental	4/2/18	5/16/18	44	B	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G3	sample_control	seq_3	Out	NONE	L	NONE
66	1	1	66	8213F	Simmental	4/3/18	5/16/18	43	B	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovoculi	1_4_period	NONE	NONE	G3	sample_control	seq_3	Out	YES	L	0.3151686
67	1	1	67	8236F	Simmental	4/18/18	5/16/18	28	B	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G4	sample_control	seq_3	Out	NONE	L	NONE
68	1	1	68	8107F	Simmental	3/7/18	5/16/18	70	B	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	NONE	NONE	G1	sample_control	seq_3	Keep	NONE	L	NONE
69	1	1	69	8164F	Simmental	3/19/18	5/16/18	58	B	R	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G2	sample_control	seq_3	Out	NONE	L	NONE
70	1	1	70	8140F	Simmental	3/10/18	5/16/18	67	B	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G1	sample_control	seq_3	Keep	NONE	L	NONE
71	1	1	71	8223F	Simmental	4/9/18	5/16/18	37	H	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G3	sample_control	seq_3	Out	NONE	L	NONE
72	1	1	72	8182F	Angus	3/21/18	5/16/18	56	H	B	2	Group 2 Commercial	COMMERCIAL	5/16/18	calf pinkeye vaccination	2	Group 2 Commercial	COMMERCIAL	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G2	sample_control	seq_3	Out	NONE	L	NONE
73	1	1	73	8192F	Simmental	3/25/18	5/16/18	52	H	R	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G2	sample_control	seq_3	Out	NONE	L	NONE
74	1	1	74	8206F	Simmental	3/31/18	5/16/18	46	B	B	1	Group 1 Placebo	PLACEBO	5/16/18	calf pinkeye vaccination	1	Group 1 Placebo	PLACEBO	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	NONE	1_4_period	Pre IBK Treatment	Before	G3	sample_control	seq_3	Out	NONE	L	NONE
75	1	1	75	8190F	Simmental	3/23/18	5/16/18	54	B	R	3	Group 3 Autogenous	AUTOGENOUS	5/16/18	calf pinkeye vaccination	3	Group 3 Autogenous	AUTOGENOUS	6/6/18	calf pinkeye booster	Time 1 (Initial Day 0)	5_16_18	M_bovis_R	1_4_period	NONE	NONE	G2	sample_control	seq_3	Out	NONE	L	NONE
